Demand,Result,Location
1.410563949,1,0
3.103240687,3,1
3.667466266,3,2
4.231691846,4,3
4.795917426,5,4
5.360143006,5,5
1.586884443,1,6
0,0,7
1.410563949,1,8
6.709810736,7,9
6.709810736,7,10
6.709810736,7,11
6.709810736,7,12
6.709810736,7,13
5.465935301,5,14
0.593069085,1,15
0.235093992,1,16
6.709810736,7,17
7.979352927,8,18
7.979352927,8,19
7.979352927,8,20
6.709810736,7,21
4.936973822,5,22
2.372276336,2,23
1.880751932,2,24
6.709810736,7,25
7.979352927,8,26
9.489105345,9,27
7.979352927,8,28
3.354905369,3,29
0,0,30
0,0,31
3.879050859,4,32
6.709810736,7,33
7.979352927,8,34
7.979352927,8,35
7.979352927,8,36
6.709810736,7,37
0.705281975,1,38
0,0,39
2.027685676,2,40
4.19363171,4,41
5.871084394,6,42
6.709810736,7,43
6.709810736,7,44
6.709810736,7,45
4.936973822,5,46
0,0,47
0,0,48
0,0,49
0,0,50
1.410563949,1,51
4.231691846,4,52
5.642255795,5,53
5.289614807,5,54
0,0,55
0,0,56
0,0,57
0,0,58
0,0,59
0,0,60
1.186138169,1,61
2.668810878,3,62
0,0,63
