Demand,Result,
1.047132148,1,0
2.303690724,2,1
2.722543583,3,2
3.141396442,3,3
3.560249301,3,4
3.979102161,4,5
1.178023666,1,6
0,0,7
1.047132148,1,8
4.981028,5,9
4.981028,5,10
4.981028,5,11
4.981028,5,12
4.981028,5,13
4.057637071,4,14
0.440264835,1,15
0.174522025,1,16
4.981028,5,17
5.923472645,6,18
5.923472645,6,19
5.923472645,6,20
4.981028,5,21
3.664962517,3,22
1.761059338,2,23
1.396176197,1,24
4.981028,5,25
5.923472645,6,26
7.044237353,7,27
5.923473,6,28
2.490514001,2,29
0,0,30
0,0,31
2.879613405,3,32
4.981028,5,33
5.923472645,6,34
5.923472645,6,35
5.923472645,6,36
4.981028,5,37
0.523566074,1,38
0,0,39
1.505252462,1,40
3.1131425,3,41
4.3583995,4,42
4.981028,5,43
4.981028,5,44
4.981028,5,45
3.664962517,4,46
0,0,47
0,0,48
0,0,49
0,0,50
1.047132148,1,51
3.141396442,3,52
4.188528589,4,53
3.926745552,4,54
0,0,55
0,0,56
0,0,57
0,0,58
0,0,59
0,0,60
0.88052967,1,61
1.981191755,2,62
0,0,63
